JOK D-3S4R-Bile                    [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
JJI D-3S4S-Bthr                    [H]O[C@@]([H])(C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
JVD D-3S-Basp                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)[O-])C([H])([H])[H]
JAC D-3S-Bcys                      [H]SC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
JAD D-3S-Bmet                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])SC([H])([H])[H])C([H])([H])[H]
JJJ D-3S-Bser                      [H]OC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
JOL D-3S-Bval                      [H]N(C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
JOM D-3R-Bpro                      [H]N(C(=O)C([H])([H])[C@]1([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
GJA L-2R3R-ACC-Bgly                [H]N(C(=O)[C@]1([H])[C@@]([H])(C([O-])OC([H])([H])[H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GOA L-2R3R-ACPC-Bgly               [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GJB L-2R3R-APC-Bgly                [H]N(C(=O)[C@]1([H])C([H])([H])N([H])C([H])([H])[C@@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GOB L-2R3S-ACHC-Bgly               [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GOC L-2R3S-ACPC-Bgly               [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GOD L-2R3S-Bile                    [H]N(C(=O)[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
GOE L-2R3S-CBU-Bgly                [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GOF L-2R-Bala                      [H]N(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GUA L-2R-Barg                      [H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])=[N+]([H])[H]
GJC L-2R-Basn                      [H]N([H])C(=O)C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
GVA L-2R-Basp                      [H]N(C(=O)[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
GAA L-2R-Bcys                      [H]SC([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
GJD L-2R-Bgln                      [H]N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
GVB L-2R-Bglu                      [H]N(C(=O)[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])[H]
GSA L-2R-Bhis                      [H]C1=NC(C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])=C([H])N1[H]
GOG L-2R-Bleu                      [H]N(C(=O)[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
GUB L-2R-Blys                      [H]N(C(=O)[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])[H]
GAB L-2R-Bmet                      [H]N(C(=O)[C@]([H])(C([H])([H])SC([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
